lat;lon;name;braun;green;white;menge
47.4351514111;9.3917041088;107112 | 2B88;0;1;0;96847.0
47.4154119854;9.3826640062;107104 | 66E0;1;0;0;97694.0
47.4078613569;9.338463976;107064 | 4B16;0;0;1;51842.0
47.41958;9.34634;107067 | 84A1;0;1;0;27850.0
47.4257724193;9.3605958394;107121 | 679F;0;0;1;124261.0
47.4079475317;9.3336392412;107053 | 667E;1;0;0;62628.0
47.4194744644;9.3797187524;107128 | 0BCE;1;0;0;76303.0
47.41960641;9.3463740545;107041 | 470A;0;1;0;47999.0
47.4196791027;9.3462362958;107054 | 2AE2;1;0;0;44862.0
47.4351834416;9.3918149135;107132 | 255E;0;1;0;39291.0
47.4259687948;9.3820951846;107115 | 7F12;0;0;1;80746.0
47.4257577466;9.3605625261;107109 | 67EF;1;0;0;86196.0
47.4039268222;9.2996162811;107075 | 2B2A;0;0;1;57989.0
47.42701;9.37393;104243;0;1;0;1048219.0
47.43724;9.37681;107127 | 817E;0;1;0;26300.0
47.42595;9.38204;107108 | 0AEA;0;1;0;71406.0
47.4120960807;9.3359106884;107072 | F389;0;0;1;106260.0
47.42574;9.36053;107123 | 980F;0;1;0;81590.0
47.43514;9.39166;107096 | 4814;0;1;0;55418.0
47.41539;9.38269;107048 | 671B;0;1;0;90898.0
47.4351257001;9.3918044733;107097 | 0C5C;1;0;0;99930.0
47.42541;9.39314;107055 | 2C76;0;1;0;99936.0
47.4079297477;9.3335252579;107065 | 4A3D;0;0;1;101834.0
47.41208;9.33586;107068 | 4455;0;1;0;73625.0
47.40798;9.33388;107077 | 2CC4;0;1;0;52262.0
47.4391951398;9.4066265864;107047 | 0D1A;0;0;1;105551.0
47.43919;9.40665;107034 | 8104;0;1;0;94620.0
47.4196294751;9.3464049263;107062 | 49A3;0;0;1;57848.0
47.4153817562;9.3827377111;107040 | 8572;0;0;1;111089.0
47.41086;9.36611;107038 | 2B8D;0;1;0;275796.0
47.4259884169;9.3821381597;107130 | 4818;1;0;0;74047.0
47.4035368198;9.3395662924;107057 | 69C8;1;0;0;4332.0
47.425445443;9.3931021373;107043 | 8300;1;0;0;156944.0
47.4269863405;9.3739753571;104244;0;0;1;139180.0
47.4350966021;9.391682379;107095 | 64BC;0;0;1;200764.0
47.4391990179;9.4066678052;107049 | 4B00;0;0;1;111624.0
47.4351716333;9.3917754263;107122 | 6370;0;1;0;9243.0
47.4253727235;9.3931866607;107058 | 282C;0;0;1;98181.0
47.4351625218;9.3917430821;107114 | 654B;0;1;0;55174.0
47.40395;9.29952;107031 | 6348;0;1;0;109594.0
47.4120650129;9.3359807742;107026 | 67BE;1;0;0;79214.0
47.4392055453;9.4066556395;107044 | 63DB;1;0;0;62085.0
